Crop,Disease,Date,Year,Month,Day

Tomato,Septoria leaf spot,2023-02-17,2023,2,17
Tomato,Spider mites Two spotted spider mite,2023-02-17,2023,2,17

Tomato,Spider mites Two spotted spider mite,2023-02-17,2023,2,17

Bell Pepper,Bacterial spot,2023-02-17,2023,2,17

Bell Pepper,Bacterial spot,2023-02-18,2023,2,18

Tomato,Healthy,2023-02-18,2023,2,18
Tomato,Target Spot,2023-02-18,2023,2,18
Tomato,Early blight,2023-02-18,2023,2,18
Tomato,YellowLeaf Curl Virus,2023-02-18,2023,2,18
Tomato,YellowLeaf Curl Virus,2023-02-24,2023,2,24
